title,engine,gearbox,body,wheel,condition,creation_date,views_cnt,owners,pts,accident,customs,transmission,color,mileage,year,real_owner,price,dealer
BMW 5 серии 530i xDrive VII (G30/G31) Рестайлинг,2.0 л / 249 л.с. / Бензин,автоматическая,седан,Левый,Не требует ремонта,14 октября,1031 (17 сегодня),1 владелец,Оригинал,1,Растаможен,полный,чёрный,12 437 км,2022,0,5 895 000 ₽,1
BMW 3 серии 320d xDrive VI (F3x) Рестайлинг,2.0 л / 190 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,1 ноября,325 (18 сегодня),2 владельца,Оригинал,1,Растаможен,полный,белый,68 533 км,2018,0,2 400 000 ₽,1
BMW 5 серии 520d xDrive VII (G30/G31) Рестайлинг,2.0 л / 190 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,1 ноября,388 (44 сегодня),1 владелец,Оригинал,1,Растаможен,полный,чёрный,74 539 км,2020,0,3 800 000 ₽,1
BMW X3 20d I (E83) Рестайлинг,2.0 л / 177 л.с. / Дизель,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,1 ноября,214 (14 сегодня),3 или более,Оригинал,1,Растаможен,полный,бежевый,254 165 км,2009,0,930 000 ₽,1
BMW X5 30i II (E70),3.0 л / 264 л.с. / Бензин,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,4 ноября,77 (10 сегодня),2 владельца,Оригинал,1,Растаможен,полный,серый,230 754 км,2010,0,1 240 000 ₽,1
BMW X5 30d IV (G05),3.0 л / 265 л.с. / Дизель,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,17 октября,1229 (32 сегодня),1 владелец,Оригинал,1,Растаможен,полный,синий,706 км,2022,0,10 355 000 ₽,1
BMW X7 M50d I (G07),3.0 л / 400 л.с. / Дизель,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,6 ноября,53 (53 сегодня),1 владелец,Оригинал,1,Растаможен,полный,белый,41 000 км,2019,0,8 299 000 ₽,0
BMW 7 серии 740d xDrive VI (G11/G12) Рестайлинг,3.0 л / 320 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,5 ноября,97 (20 сегодня),1 владелец,Оригинал,1,Растаможен,полный,чёрный,13 000 км,2021,0,10 999 999 ₽,0
BMW X2 xDrive20i I (F39),2.0 л / 192 л.с. / Бензин,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,4 ноября,96 (27 сегодня),1 владелец,Оригинал,1,Растаможен,полный,синий,39 283 км,2018,0,3 225 000 ₽,1
BMW 3 серии 320i xDrive VI (F3x) Рестайлинг,2.0 л / 184 л.с. / Бензин,автоматическая,седан,Левый,Не требует ремонта,13 мая,758 (2 сегодня),2 владельца,Оригинал,1,Растаможен,полный,серый,121 877 км,2018,0,1 880 000 ₽,1
BMW 3 серии 320i xDrive VI (F3x) Рестайлинг,2.0 л / 184 л.с. / Бензин,автоматическая,седан,Левый,Не требует ремонта,4 сентября,2743 (20 сегодня),1 владелец,Оригинал,1,Растаможен,полный,серебристый,112 500 км,2018,0,1 960 000 ₽,1
BMW 3 серии 320d xDrive VII (G2x),2.0 л / 190 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,6 ноября,64 (64 сегодня),1 владелец,Оригинал,0,Растаможен,полный,чёрный,51 500 км,2019,0,2 999 000 ₽,0
BMW X7 30d I (G07),3.0 л / 249 л.с. / Дизель,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,6 ноября,48 (48 сегодня),1 владелец,Оригинал,1,Растаможен,полный,белый,32 566 км,2019,1,7 700 000 ₽,0
BMW 3 серии 320i xDrive VI (F3x) Рестайлинг,2.0 л / 184 л.с. / Бензин,автоматическая,седан,Левый,Не требует ремонта,24 мая,1338 (12 сегодня),2 владельца,Оригинал,1,Растаможен,полный,серый,114 728 км,2018,0,1 920 000 ₽,1
BMW X6 30d II (F16),3.0 л / 249 л.с. / Дизель,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,5 ноября,193 (55 сегодня),2 владельца,Оригинал,1,Растаможен,полный,белый,98 200 км,2016,0,3 690 000 ₽,0
BMW 5 серии 520d VI (F10/F11/F07) Рестайлинг,2.0 л / 190 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,5 ноября,122 (46 сегодня),2 владельца,Оригинал,1,Растаможен,задний,синий,62 000 км,2016,1,2 199 000 ₽,0
